"","season_source","season_target","variable","value"
"1","Snow","Melt","S2S",NA
"2","Melt","Growing","S2S",NA
"3","Growing","Snow","S2S",NA
"4","Snow","Melt","S2E",NA
"5","Melt","Growing","S2E",NA
"6","Growing","Snow","S2E",NA
"7","Snow","Melt","MEANC",0.515508336544123
"8","Melt","Growing","MEANC",NA
"9","Growing","Snow","MEANC",NA
"10","Snow","Melt","South_PCP",NA
"11","Melt","Growing","South_PCP",NA
"12","Growing","Snow","South_PCP",NA
"13","Snow","Melt","Snow_in",NA
"14","Melt","Growing","Snow_in",NA
"15","Growing","Snow","Snow_in",NA
"16","Snow","Melt","WTE",NA
"17","Melt","Growing","WTE",NA
"18","Growing","Snow","WTE",NA
