"","season_source","season_target","variable","value"
"1","Snow","Growing","S2S",0.033138906024437
"2","Melt","Snow","S2S",0.319070445895696
"3","Growing","Melt","S2S",0.172739497821489
"4","Snow","Growing","S2E",0.578593436019672
"5","Melt","Snow","S2E",0.319070445895696
"6","Growing","Melt","S2E",0
"7","Snow","Growing","MEANC",0.64721957063498
"8","Melt","Snow","MEANC",0.64721957063498
"9","Growing","Melt","MEANC",0.283583217304824
"10","Snow","Growing","South_PCP",0.259522990123976
"11","Melt","Snow","South_PCP",0.033138906024437
"12","Growing","Melt","South_PCP",0.328149124739285
"13","Snow","Growing","Snow_in",0.691785478069441
"14","Melt","Snow","Snow_in",0.181818176665078
"15","Growing","Melt","Snow_in",0
"16","Snow","Growing","WTE",0.205878403845926
"17","Melt","Snow","WTE",0.033138906024437
"18","Growing","Melt","WTE",0.205878403845926
