"","season_source","season_target","variable","value"
"1","Snow","Melt","S2S",3.20342641302318e-16
"2","Melt","Growing","S2S",0.109170335581486
"3","Growing","Snow","S2S",-3.20342641302318e-16
"4","Snow","Melt","S2E",0.0441104164982212
"5","Melt","Growing","S2E",0.0484156745366853
"6","Growing","Snow","S2E",0.0408520818149224
"7","Snow","Melt","MEANC",0.251629160256132
"8","Melt","Growing","MEANC",0.190874499211331
"9","Growing","Snow","MEANC",0.229573952007021
"10","Snow","Melt","South_PCP",0.481203112263154
"11","Melt","Growing","South_PCP",0.190874499211331
"12","Growing","Snow","South_PCP",0
"13","Snow","Melt","Snow_in",0.459147904014043
"14","Melt","Growing","Snow_in",0.190874499211331
"15","Growing","Snow","Snow_in",0
"16","Snow","Melt","WTE",0.251629160256132
"17","Melt","Growing","WTE",0.190874499211331
"18","Growing","Snow","WTE",0.190874499211331
