"","season_source","season_target","variable","value"
"1","Snow","Snow","d.15",0.077704813458898
"2","Melt","Melt","d.15",0.00907867884358965
"3","Growing","Growing","d.15",0.214957082689515
"4","Snow","Snow","d.76",0.691785478069441
"5","Melt","Melt","d.76",0.0686261346153087
"6","Growing","Growing","d.76",0.214957082689515
"7","Snow","Snow","d.137",0.250444311280387
"8","Melt","Melt","d.137",0.441341166789055
"9","Growing","Growing","d.137",0.942229789349828
"10","Snow","Snow","MEANC",0.0536445862780507
"11","Melt","Melt","MEANC",0.328149124739285
"12","Growing","Growing","MEANC",0.283583217304824
"13","Snow","Snow","South_PCP",0.396775259354593
"14","Melt","Melt","South_PCP",0.465401393969902
"15","Growing","Growing","South_PCP",0.942229789349828
"16","Snow","Snow","Snow_in",0.485907074223516
"17","Melt","Melt","Snow_in",0.214957082689515
"18","Growing","Growing","Snow_in",0
"19","Snow","Snow","WTE",0.181818176665079
"20","Melt","Melt","WTE",0.509967301404363
"21","Growing","Growing","WTE",0.205878403845926
