"","season_source","season_target","variable","value"
"1","Snow","Growing","d.15",0.170391175255054
"2","Melt","Snow","d.15",0.441341166789055
"3","Growing","Melt","d.15",0.283583217304824
"4","Snow","Growing","d.76",0.578593436019672
"5","Melt","Snow","d.76",0.146330948074206
"6","Growing","Melt","d.76",0.146330948074206
"7","Snow","Growing","d.137",0.205878403845926
"8","Melt","Snow","d.137",0.319070445895696
"9","Growing","Melt","d.137",0.328149124739285
"10","Snow","Growing","MEANC",0.64721957063498
"11","Melt","Snow","MEANC",0.64721957063498
"12","Growing","Melt","MEANC",0.283583217304824
"13","Snow","Growing","South_PCP",0.259522990123976
"14","Melt","Snow","South_PCP",0.033138906024437
"15","Growing","Melt","South_PCP",0.328149124739285
"16","Snow","Growing","Snow_in",0.691785478069441
"17","Melt","Snow","Snow_in",0.181818176665078
"18","Growing","Melt","Snow_in",0
"19","Snow","Growing","WTE",0.205878403845926
"20","Melt","Snow","WTE",0.033138906024437
"21","Growing","Melt","WTE",0.205878403845926
