"","season_source","season_target","variable","value"
"1","Snow","Melt","d.15",0.0354712640373029
"2","Melt","Growing","d.15",0.00944729640399723
"3","Growing","Snow","d.15",0.076009851508506
"4","Snow","Melt","d.76",0.136122928139755
"5","Melt","Growing","d.76",0.162146895773062
"6","Growing","Snow","d.76",0.076009851508506
"7","Snow","Melt","d.137",0.168804593591693
"8","Melt","Growing","d.137",0.00944729640399723
"9","Growing","Snow","d.137",0.076009851508506
"10","Snow","Melt","MEANC",0.162146895773062
"11","Melt","Growing","MEANC",0.00278959858536473
"12","Growing","Snow","MEANC",0.115663890523466
"13","Snow","Melt","South_PCP",0.00278959858536473
"14","Melt","Growing","South_PCP",0.0354712640373029
"15","Growing","Snow","South_PCP",0.076009851508506
"16","Snow","Melt","Snow_in",0.302137923146084
"17","Melt","Growing","Snow_in",0.269456257694146
"18","Growing","Snow","Snow_in",0.152979242098272
"19","Snow","Melt","WTE",0.0354712640373029
"20","Melt","Growing","WTE",0.21913042564292
"21","Growing","Snow","WTE",0.115663890523466
