"","season_source","season_target","variable","value"
"1","Snow","Snow","d.15",0.0817041636298452
"2","Melt","Melt","d.15",0.481203112263154
"3","Growing","Growing","d.15",0.316689079339397
"4","Snow","Snow","d.76",3.20342641302318e-16
"5","Melt","Melt","d.76",0.0220552082491106
"6","Growing","Growing","d.76",0.212929707460442
"7","Snow","Snow","d.137",3.20342641302318e-16
"8","Melt","Melt","d.137",0.109170335581486
"9","Growing","Growing","d.137",0.316689079339397
"10","Snow","Snow","MEANC",0.229573952007022
"11","Melt","Melt","MEANC",0.109170335581486
"12","Growing","Growing","MEANC",0.190874499211331
"13","Snow","Snow","South_PCP",0.229573952007021
"14","Melt","Melt","South_PCP",3.20342641302318e-16
"15","Growing","Growing","South_PCP",0.650022403225374
"16","Snow","Snow","Snow_in",0.0817041636298452
"17","Melt","Melt","Snow_in",3.20342641302318e-16
"18","Growing","Growing","Snow_in",0
"19","Snow","Snow","WTE",0.229573952007022
"20","Melt","Melt","WTE",0.147869788377177
"21","Growing","Growing","WTE",0.316689079339397
