Date,Watershed,Flow (L/s),Flow (CFS),Flow (cm/day)
1961-03-01,S1,0,0,0
1961-03-02,S1,0,0,0
1961-03-03,S1,0,0,0
1961-03-04,S1,0,0,0
1961-03-05,S1,0,0,0
1961-03-06,S1,0,0,0
1961-03-07,S1,0,0,0
1961-03-08,S1,0,0,0
1961-03-09,S1,0,0,0
1961-03-10,S1,0,0,0
1961-03-11,S1,0,0,0
1961-03-12,S1,0,0,0
1961-03-13,S1,0,0,0
1961-03-14,S1,0,0,0
1961-03-15,S1,0,0,0
1961-03-16,S1,0,0,0
1961-03-17,S1,0,0,0
1961-03-18,S1,0,0,0
1961-03-19,S1,0,0,0
1961-03-20,S1,0,0,0
1961-03-21,S1,0,0,0
1961-03-22,S1,0,0,0
1961-03-23,S1,0,0,0
1961-03-24,S1,0,0,0
1961-03-25,S1,0,0,0
1961-03-26,S1,0,0,0
1961-03-27,S1,0,0,0
1961-03-28,S1,0,0,0
1961-03-29,S1,0,0,0
1961-03-30,S1,0,0,0
1961-03-31,S1,0,0,0
1961-04-01,S1,0,0,0
1961-04-02,S1,0,0,0
1961-04-03,S1,0,0,0
1961-04-04,S1,0,0,0
1961-04-05,S1,0,0,0
1961-04-06,S1,0,0,0
1961-04-07,S1,0,0,0
1961-04-08,S1,0,0,0
1961-04-09,S1,0,0,0
1961-04-10,S1,0,0,0
1961-04-11,S1,0,0,0
1961-04-12,S1,0,0,0
1961-04-13,S1,0,0,0
1961-04-14,S1,0,0,0
1961-04-15,S1,0,0,0
1961-04-16,S1,0,0,0
1961-04-17,S1,0,0,0
1961-04-18,S1,0,0,0
1961-04-19,S1,0,0,0
1961-04-20,S1,0,0,0
1961-04-21,S1,0,0,0
1961-04-22,S1,0,0,0
1961-04-23,S1,0,0,0
1961-04-24,S1,0,0,0
1961-04-25,S1,0,0,0
1961-04-26,S1,0,0,0
1961-04-27,S1,0,0,0
1961-04-28,S1,0,0,0
1961-04-29,S1,0,0,0
1961-04-30,S1,0,0,0
1961-05-01,S1,0,0,0
1961-05-02,S1,0,0,0
1961-05-03,S1,0,0,0
1961-05-04,S1,0,0,0
1961-05-05,S1,0,0,0
1961-05-06,S1,0,0,0
1961-05-07,S1,0,0,0
1961-05-08,S1,0,0,0
1961-05-09,S1,0,0,0
1961-05-10,S1,0,0,0
1961-05-11,S1,0,0,0
1961-05-12,S1,0,0,0
1961-05-13,S1,0,0,0
1961-05-14,S1,0,0,0
1961-05-15,S1,0,0,0
1961-05-16,S1,0,0,0
1961-05-17,S1,0,0,0
1961-05-18,S1,0,0,0
1961-05-19,S1,0,0,0
1961-05-20,S1,0,0,0
1961-05-21,S1,0,0,0
1961-05-22,S1,0,0,0
1961-05-23,S1,0,0,0
1961-05-24,S1,0,0,0
1961-05-25,S1,0,0,0
1961-05-26,S1,0,0,0
1961-05-27,S1,0,0,0
1961-05-28,S1,0,0,0
1961-05-29,S1,0,0,0
1961-05-30,S1,0,0,0
1961-05-31,S1,0,0,0
1961-06-01,S1,0,0,0
1961-06-02,S1,0,0,0
1961-06-03,S1,0,0,0
1961-06-04,S1,0,0,0
1961-06-05,S1,0,0,0
1961-06-06,S1,0,0,0
1961-06-07,S1,0,0,0
1961-06-08,S1,0,0,0
1961-06-09,S1,0,0,0
1961-06-10,S1,0,0,0
1961-06-11,S1,0,0,0
1961-06-12,S1,0,0,0
1961-06-13,S1,0,0,0
1961-06-14,S1,0,0,0
1961-06-15,S1,0,0,0
1961-06-16,S1,0,0,0
1961-06-17,S1,0,0,0
1961-06-18,S1,0,0,0
1961-06-19,S1,0,0,0
1961-06-20,S1,0,0,0
1961-06-21,S1,0,0,0
1961-06-22,S1,0,0,0
1961-06-23,S1,0,0,0
1961-06-24,S1,0,0,0
1961-06-25,S1,0,0,0
1961-06-26,S1,0,0,0
1961-06-27,S1,0,0,0
1961-06-28,S1,0,0,0
1961-06-29,S1,0,0,0
1961-06-30,S1,0,0,0
1961-07-01,S1,0,0,0
1961-07-02,S1,0,0,0
1961-07-03,S1,0,0,0
1961-07-04,S1,0,0,0
1961-07-05,S1,0,0,0
1961-07-06,S1,0,0,0
1961-07-07,S1,0,0,0
1961-07-08,S1,0,0,0
1961-07-09,S1,0,0,0
1961-07-10,S1,0,0,0
1961-07-11,S1,0,0,0
1961-07-12,S1,0,0,0
1961-07-13,S1,0,0,0
1961-07-14,S1,0,0,0
1961-07-15,S1,0,0,0
1961-07-16,S1,0,0,0
1961-07-17,S1,0,0,0
1961-07-18,S1,0,0,0
1961-07-19,S1,0,0,0
1961-07-20,S1,0,0,0
1961-07-21,S1,0,0,0
1961-07-22,S1,0,0,0
1961-07-23,S1,0,0,0
1961-07-24,S1,0,0,0
1961-07-25,S1,0,0,0
1961-07-26,S1,0,0,0
1961-07-27,S1,0,0,0
1961-07-28,S1,0,0,0
1961-07-29,S1,0,0,0
1961-07-30,S1,0,0,0
1961-07-31,S1,0,0,0
1961-08-01,S1,0,0,0
1961-08-02,S1,0,0,0
1961-08-03,S1,0,0,0
1961-08-04,S1,0,0,0
1961-08-05,S1,0,0,0
1961-08-06,S1,0,0,0
1961-08-07,S1,0,0,0
1961-08-08,S1,0,0,0
