"Date","STATION","MAXC","MINC","FLAG"
1962-01-01,"North",-7,-16,NA
1962-01-02,"North",-2,-13,NA
1962-01-03,"North",2,-7,NA
1962-01-04,"North",-7,-12,NA
1962-01-05,"North",-12,-29,NA
1962-01-06,"North",-9,-29,NA
1962-01-07,"North",-12,-20,NA
1962-01-08,"North",-19,-26,NA
1962-01-09,"North",-21,-27,NA
1962-01-10,"North",-18,-31,NA
1962-01-11,"North",-8,-19,NA
1962-01-12,"North",-3,-22,NA
1962-01-13,"North",-9,-23,NA
1962-01-14,"North",-12,-27,NA
1962-01-15,"North",-14,-28,NA
1962-01-16,"North",-22,-36,NA
1962-01-17,"North",-24,-42,NA
1962-01-18,"North",-22,-37,NA
1962-01-19,"North",-21,-38,NA
1962-01-20,"North",-17,-37,NA
1962-01-21,"North",-14,-23,NA
1962-01-22,"North",-12,-22,NA
1962-01-23,"North",-6,-29,NA
1962-01-24,"North",0,-9,NA
1962-01-25,"North",-5,-15,NA
1962-01-26,"North",-3,-24,NA
1962-01-27,"North",-19,-31,NA
1962-01-28,"North",-16,-30,NA
1962-01-29,"North",-12,-24,NA
1962-01-30,"North",-19,-32,NA
1962-01-31,"North",-13,-26,NA
1962-02-01,"North",-11,-34,NA
1962-02-02,"North",1,-14,NA
1962-02-03,"North",5,-6,NA
1962-02-04,"North",-2,-17,NA
1962-02-05,"North",-17,-30,NA
1962-02-06,"North",-19,-37,NA
1962-02-07,"North",-21,-37,NA
1962-02-08,"North",-12,-38,NA
1962-02-09,"North",-10,-29,NA
1962-02-10,"North",-9,-20,NA
1962-02-11,"North",-3,-9,NA
1962-02-12,"North",1,-6,NA
1962-02-13,"North",-2,-5,NA
1962-02-14,"North",-3,-11,NA
1962-02-15,"North",-4,-11,NA
1962-02-16,"North",-7,-24,NA
1962-02-17,"North",-6,-26,NA
1962-02-18,"North",-5,-25,NA
1962-02-19,"North",-3,-23,NA
1962-02-20,"North",-10,-27,NA
1962-02-21,"North",-10,-20,NA
1962-02-22,"North",-3,-21,NA
1962-02-23,"North",-10,-19,NA
1962-02-24,"North",-9,-18,NA
1962-02-25,"North",-5,-22,NA
1962-02-26,"North",-10,-28,NA
1962-02-27,"North",-19,-33,NA
1962-02-28,"North",-20,-41,NA
1962-03-01,"North",-14,-41,NA
1962-03-02,"North",-7,-18,NA
1962-03-03,"North",-5,-13,NA
1962-03-04,"North",-1,-19,NA
1962-03-05,"North",-2,-22,NA
1962-03-06,"North",6,-18,NA
1962-03-07,"North",-2,-13,NA
1962-03-08,"North",0,-4,NA
1962-03-09,"North",5,-4,NA
1962-03-10,"North",3,-3,NA
1962-03-11,"North",3,-3,NA
1962-03-12,"North",-1,-5,NA
1962-03-13,"North",1,-10,NA
1962-03-14,"North",2,-8,NA
1962-03-15,"North",3,-9,NA
1962-03-16,"North",4,-7,NA
1962-03-17,"North",7,-14,NA
1962-03-18,"North",6,-15,NA
1962-03-19,"North",2,-2,NA
1962-03-20,"North",7,-8,NA
1962-03-21,"North",7,-11,NA
1962-03-22,"North",6,-8,NA
1962-03-23,"North",-1,-6,NA
1962-03-24,"North",7,-7,NA
1962-03-25,"North",2,-1,NA
1962-03-26,"North",4,-3,NA
1962-03-27,"North",8,-3,NA
1962-03-28,"North",10,1,NA
1962-03-29,"North",1,-4,NA
1962-03-30,"North",4,-7,NA
1962-03-31,"North",4,-12,NA
1962-04-01,"North",3,-6,NA
1962-04-02,"North",3,-10,NA
1962-04-03,"North",7,-9,NA
1962-04-04,"North",12,-3,NA
1962-04-05,"North",9,-4,NA
1962-04-06,"North",3,-9,NA
1962-04-07,"North",7,-10,NA
1962-04-08,"North",1,-3,NA
1962-04-09,"North",-3,-11,NA
1962-04-10,"North",1,-16,NA
1962-04-11,"North",3,-8,NA
1962-04-12,"North",4,-9,NA
1962-04-13,"North",3,-12,NA
