"PEATLAND","DATE","WTE","FLAG"
"BOGLK",1990-07-19,415.87,"M"
"BOGLK",1990-07-20,415.86,"M"
"BOGLK",1990-07-21,415.86,"M"
"BOGLK",1990-07-22,415.85,"M"
"BOGLK",1990-07-23,415.84,"M"
"BOGLK",1990-07-24,415.84,"M"
"BOGLK",1990-07-25,415.83,"M"
"BOGLK",1990-07-26,415.87,"M"
"BOGLK",1990-07-27,415.86,"M"
"BOGLK",1990-07-28,415.86,"M"
"BOGLK",1990-07-29,415.86,"M"
"BOGLK",1990-07-30,415.84,"M"
"BOGLK",1990-07-31,415.84,"M"
"BOGLK",1990-08-01,415.83,"M"
"BOGLK",1990-08-02,415.82,"M"
"BOGLK",1990-08-03,415.82,"M"
"BOGLK",1990-08-04,415.81,"M"
"BOGLK",1990-08-05,415.81,"M"
"BOGLK",1990-08-06,415.8,"M"
"BOGLK",1990-08-07,415.79,"M"
"BOGLK",1990-08-08,415.78,"M"
"BOGLK",1990-08-09,415.77,"M"
"BOGLK",1990-08-10,415.77,"M"
"BOGLK",1990-08-11,415.76,"M"
"BOGLK",1990-08-12,415.76,"M"
"BOGLK",1990-08-13,415.75,"M"
"BOGLK",1990-08-14,415.75,"M"
"BOGLK",1990-08-15,415.74,"M"
"BOGLK",1990-08-16,415.74,"M"
"BOGLK",1990-08-17,415.74,"M"
"BOGLK",1990-08-18,415.74,"M"
"BOGLK",1990-08-19,415.73,"M"
"BOGLK",1990-08-20,415.72,"M"
"BOGLK",1990-08-21,415.71,"M"
"BOGLK",1990-08-22,415.7,"M"
"BOGLK",1990-08-23,415.71,"M"
"BOGLK",1990-08-24,415.71,"M"
"BOGLK",1990-08-25,415.71,"M"
"BOGLK",1990-08-26,415.74,"M"
"BOGLK",1990-08-27,415.72,"M"
"BOGLK",1990-08-28,415.71,"M"
"BOGLK",1990-08-29,415.7,"M"
"BOGLK",1990-08-30,415.69,"M"
"BOGLK",1990-08-31,415.69,"M"
"BOGLK",1990-09-01,415.68,"M"
"BOGLK",1990-09-02,415.67,"M"
"BOGLK",1990-09-03,415.67,"M"
"BOGLK",1990-09-04,415.67,"M"
"BOGLK",1990-09-05,415.68,"M"
"BOGLK",1990-09-06,415.68,"M"
"BOGLK",1990-09-07,415.68,"M"
"BOGLK",1990-09-08,415.67,"M"
"BOGLK",1990-09-09,415.66,"M"
"BOGLK",1990-09-10,415.65,"M"
"BOGLK",1990-09-11,415.66,"M"
"BOGLK",1990-09-12,415.66,"M"
"BOGLK",1990-09-13,415.7,"M"
"BOGLK",1990-09-14,415.7,"M"
"BOGLK",1990-09-15,415.69,"M"
"BOGLK",1990-09-16,415.68,"M"
"BOGLK",1990-09-17,415.68,"M"
"BOGLK",1990-09-18,415.69,"M"
"BOGLK",1990-09-19,415.69,"M"
"BOGLK",1990-09-20,415.68,"M"
