,Date,Precip,DOY,YEAR,Watershed_x,Flow_Ls,Flow_cfs,Flow_cmday,MEF_SnowDepth_cm,Max_Temp_F,Min_Temp_F,Precip_in,Snow_in,DNR_SnowDepth_in,Watershed_y,WTE,Flag,Peatland,DepthtoFrost,FrostThickness,FrostPerc,DNR_SnowDepth_cm,FrostThickness_cm,DOWY,WYEAR
0,1995-01-01,0.0,1,1995,S2,0.0,0.0,0.0,,15.0,1.0,0.0,0.0,,S2,421.95,M,,,,,,,92,1995
1,1995-01-02,0.0,2,1995,S2,0.0,0.0,0.0,,8.0,-2.0,0.0,0.0,,S2,421.95,M,,,,,,,93,1995
2,1995-01-03,0.0,3,1995,S2,0.0,0.0,0.0,,11.0,-14.0,0.02,0.3,5.0,S2,421.95,M,,,,,12.7,,94,1995
3,1995-01-04,0.0,4,1995,S2,0.0,0.0,0.0,,-5.0,-20.0,,,5.0,S2,421.95,M,,,,,12.7,,95,1995
4,1995-01-05,0.0,5,1995,S2,0.0,0.0,0.0,,5.0,-19.0,0.0,0.0,5.0,S2,421.94,M,,,,,12.7,,96,1995
5,1995-01-06,0.0,6,1995,S2,0.0,0.0,0.0,,23.0,3.0,0.0,0.0,,S2,421.94,M,,,,,,,97,1995
6,1995-01-07,0.08,7,1995,S2,0.0,0.0,0.0,,11.0,-18.0,0.0,0.0,,S2,421.93,M,,,,,,,98,1995
7,1995-01-08,0.0,8,1995,S2,0.0,0.0,0.0,,9.0,-17.0,0.0,0.0,,S2,421.93,M,,,,,,,99,1995
8,1995-01-09,0.0,9,1995,S2,0.0,0.0,0.0,,11.0,-12.0,,,5.0,S2,421.93,M,,,,,12.7,,100,1995
9,1995-01-10,0.1,10,1995,S2,0.0,0.0,0.0,,11.0,-12.0,,,5.0,S2,421.93,M,,,,,12.7,,101,1995
10,1995-01-11,0.0,11,1995,S2,0.0,0.0,0.0,,23.0,10.0,0.04,0.5,6.0,S2,421.93,M,,,,,15.24,,102,1995
11,1995-01-12,0.36,12,1995,S2,0.0,0.0,0.0,,30.0,22.0,0.01,0.0,6.0,S2,421.93,M,,,,,15.24,,103,1995
12,1995-01-13,0.79,13,1995,S2,0.0,0.0,0.0,,32.0,27.0,0.31,3.0,9.0,S2,421.92,M,,,,,22.86,,104,1995
13,1995-01-14,0.05,14,1995,S2,0.0,0.0,0.0,,30.0,16.0,0.15,1.5,,S2,421.93,M,,,,,,,105,1995
14,1995-01-15,0.0,15,1995,S2,0.0,0.0,0.0,,25.0,-6.0,,,,S2,421.93,M,,,,,,,106,1995
15,1995-01-16,0.03,16,1995,S2,0.0,0.0,0.0,,24.0,-2.0,0.0,0.0,,S2,421.93,M,,,,,,,107,1995
16,1995-01-17,1.22,17,1995,S2,0.0,0.0,0.0,,31.0,24.0,0.13,1.3,11.0,S2,421.93,M,,,,,27.94,,108,1995
17,1995-01-18,0.1,18,1995,S2,0.0,0.0,0.0,,34.0,11.0,0.31,3.1,13.0,S2,421.93,M,,,,,33.02,,109,1995
18,1995-01-19,0.0,19,1995,S2,0.0,0.0,0.0,,23.0,4.0,,,13.0,S2,421.93,M,,,,,33.02,,110,1995
19,1995-01-20,0.0,20,1995,S2,0.0,0.0,0.0,,24.0,3.0,0.01,0.3,13.0,S2,421.93,M,,,,,33.02,,111,1995
20,1995-01-21,0.1,21,1995,S2,0.0,0.0,0.0,,21.0,5.0,0.01,0.3,,S2,421.92,M,,,,,,,112,1995
21,1995-01-22,0.0,22,1995,S2,0.0,0.0,0.0,,18.0,6.0,0.02,0.4,,S2,421.92,M,,,,,,,113,1995
22,1995-01-23,0.0,23,1995,S2,0.0,0.0,0.0,,18.0,-9.0,0.0,0.0,13.0,S2,421.92,M,,,,,33.02,,114,1995
23,1995-01-24,0.0,24,1995,S2,0.0,0.0,0.0,,18.0,-16.0,0.0,0.0,13.0,S2,421.92,M,,,,,33.02,,115,1995
24,1995-01-25,0.0,25,1995,S2,0.0,0.0,0.0,,18.0,-16.0,0.0,0.0,13.0,S2,421.92,M,,,,,33.02,,116,1995
25,1995-01-26,0.0,26,1995,S2,0.0,0.0,0.0,,24.0,-16.0,0.0,0.0,12.0,S2,421.92,M,,,,,30.48,,117,1995
26,1995-01-27,0.0,27,1995,S2,0.0,0.0,0.0,,30.0,0.0,0.0,0.0,12.0,S2,421.92,M,,,,,30.48,,118,1995
27,1995-01-28,0.05,28,1995,S2,0.0,0.0,0.0,,28.0,22.0,0.0,0.0,,S2,421.91,M,,,,,,,119,1995
28,1995-01-29,0.0,29,1995,S2,0.0,0.0,0.0,,27.0,16.0,0.01,0.3,,S2,421.91,M,,,,,,,120,1995
29,1995-01-30,0.0,30,1995,S2,0.0,0.0,0.0,,25.0,4.0,0.0,0.0,12.0,S2,421.92,M,,,,,30.48,,121,1995
30,1995-01-31,0.0,31,1995,S2,0.0,0.0,0.0,,34.0,12.0,0.0,0.0,12.0,S2,421.92,M,,,,,30.48,,122,1995
31,1995-02-01,0.0,32,1995,S2,0.0,0.0,0.0,,38.0,7.0,0.0,0.0,12.0,S2,421.91,M,,,,,30.48,,123,1995
32,1995-02-02,0.0,33,1995,S2,0.0,0.0,0.0,,29.0,0.0,0.0,0.0,12.0,S2,421.91,M,,,,,30.48,,124,1995
33,1995-02-03,0.03,34,1995,S2,0.0,0.0,0.0,,34.0,2.0,,0.0,12.0,S2,421.91,M,,,,,30.48,,125,1995
34,1995-02-04,0.0,35,1995,S2,0.0,0.0,0.0,,25.0,0.0,,,,S2,421.91,M,,,,,,,126,1995
35,1995-02-05,0.0,36,1995,S2,0.0,0.0,0.0,,10.0,-24.0,0.0,0.0,,S2,421.91,M,,,,,,,127,1995
36,1995-02-06,0.0,37,1995,S2,0.0,0.0,0.0,,11.0,-23.0,0.0,0.0,12.0,S2,421.91,M,,,,,30.48,,128,1995
37,1995-02-07,0.05,38,1995,S2,0.0,0.0,0.0,,15.0,-22.0,,0.1,12.0,S2,421.9,M,,,,,30.48,,129,1995
38,1995-02-08,0.08,39,1995,S2,0.0,0.0,0.0,,13.0,-14.0,0.0,0.0,12.0,S2,421.9,M,,,,,30.48,,130,1995
39,1995-02-09,0.56,40,1995,S2,0.0,0.0,0.0,,27.0,-11.0,0.04,0.6,12.0,S2,421.9,M,,,,,30.48,,131,1995
40,1995-02-10,0.25,41,1995,S2,0.0,0.0,0.0,,35.0,-4.0,0.19,2.7,15.0,S2,421.9,M,,,,,38.1,,132,1995
41,1995-02-11,0.0,42,1995,S2,0.0,0.0,0.0,,1.0,-24.0,,0.1,,S2,421.89,M,,,,,,,133,1995
42,1995-02-12,0.0,43,1995,S2,0.0,0.0,0.0,,4.0,-22.0,0.0,0.0,,S2,421.89,M,,,,,,,134,1995
43,1995-02-13,0.0,44,1995,S2,0.0,0.0,0.0,,11.0,-12.0,0.0,0.0,14.0,S2,421.89,M,,,,,35.56,,135,1995
44,1995-02-14,0.71,45,1995,S2,0.0,0.0,0.0,,8.0,-17.0,0.0,0.0,14.0,S2,421.88,M,,,,,35.56,,136,1995
45,1995-02-15,0.1,46,1995,S2,0.0,0.0,0.0,,14.0,-17.0,0.28,5.2,19.0,S2,421.88,M,,,,,48.26,,137,1995
46,1995-02-16,0.13,47,1995,S2,0.0,0.0,0.0,47.7,20.0,,,0.2,18.0,S2,421.88,M,S2,0.0,5.0,70.0,45.72,12.7,138,1995
47,1995-02-17,0.0,48,1995,S2,0.0,0.0,0.0,,13.0,-20.0,0.03,1.0,18.0,S2,421.88,M,,,,,45.72,,139,1995
48,1995-02-18,0.0,49,1995,S2,0.0,0.0,0.0,,24.0,10.0,0.0,0.0,,S2,421.88,M,,,,,,,140,1995
49,1995-02-19,0.1,50,1995,S2,0.0,0.0,0.0,,43.0,7.0,0.0,0.0,,S2,421.88,M,,,,,,,141,1995
50,1995-02-20,0.0,51,1995,S2,0.0,0.0,0.0,,32.0,8.0,0.01,0.1,,S2,421.88,M,,,,,,,142,1995
51,1995-02-21,0.0,52,1995,S2,0.0,0.0,0.0,,27.0,0.0,0.0,0.0,16.0,S2,421.88,M,,,,,40.64,,143,1995
52,1995-02-22,0.0,53,1995,S2,0.0,0.0,0.0,,27.0,10.0,,0.0,15.0,S2,421.88,M,,,,,38.1,,144,1995
53,1995-02-23,0.0,54,1995,S2,0.0,0.0,0.0,,47.0,25.0,0.01,0.2,15.0,S2,421.88,M,,,,,38.1,,145,1995
54,1995-02-24,0.0,55,1995,S2,0.0,0.0,0.0,,31.0,4.0,0.0,0.0,15.0,S2,421.87,M,,,,,38.1,,146,1995
55,1995-02-25,0.2,56,1995,S2,0.0,0.0,0.0,,36.0,10.0,0.0,0.0,,S2,421.87,M,,,,,,,147,1995
56,1995-02-26,0.13,57,1995,S2,0.0,0.0,0.0,,20.0,11.0,0.05,0.8,,S2,421.87,M,,,,,,,148,1995
57,1995-02-27,0.0,58,1995,S2,0.0,0.0,0.0,,23.0,15.0,0.01,0.2,15.0,S2,421.87,M,,,,,38.1,,149,1995
58,1995-02-28,0.0,59,1995,S2,0.0,0.0,0.0,,23.0,-6.0,0.01,0.2,15.0,S2,421.87,M,,,,,38.1,,150,1995
59,1995-03-01,0.0,60,1995,S2,0.0,0.0,0.0,,14.0,-16.0,,,15.0,S2,421.87,M,,,,,38.1,,151,1995
60,1995-03-02,0.0,61,1995,S2,0.0,0.0,0.0,42.0,10.0,-18.0,0.0,0.0,15.0,S2,421.87,M,S2,0.0,5.0,60.0,38.1,12.7,152,1995
61,1995-03-03,0.0,62,1995,S2,0.0,0.0,0.0,,22.0,-18.0,0.0,0.0,15.0,S2,421.87,M,,,,,38.1,,153,1995
62,1995-03-04,0.3,63,1995,S2,0.0,0.0,0.0,,30.0,-6.0,0.0,0.0,,S2,421.87,M,,,,,,,154,1995
63,1995-03-05,0.41,64,1995,S2,0.0,0.0,0.0,,17.0,-4.0,0.24,2.9,,S2,421.86,M,,,,,,,155,1995
64,1995-03-06,0.38,65,1995,S2,0.0,0.0,0.0,,22.0,9.0,0.1,1.2,18.0,S2,421.86,M,,,,,45.72,,156,1995
