"season","year","South_PCP","mean_cmDay","WTE","Snow_in","MEANC","S2E","S2S"
"Growing",1969,29.24,0.00242203296703297,422.026153846154,0,16.6373626373626,0,0
"Melt",1969,17.84,0.0171696666666667,422.060119047619,1.5,9.66071428571429,0.871632,0.979684000000001
"Snow",1969,32.48,0.00246103157894737,421.993210526316,73,-6.56842105263158,0.106108,0.51775
"Growing",1970,13.43,0.000195380434782609,421.91402173913,0,16.6413043478261,0,0
"Melt",1970,15.63,0.0154790289855072,422.063188405797,2.3,12.6376811594203,1.034224,1.160868
"Snow",1970,30.85,0.00239696078431373,422.005343137255,69.7,-7.07598039215686,0.292036,0.827884
"Melt",1971,25.62,0.0148150897435897,422.04141025641,9.4,11.6987179487179,0.848295999999999,0.344976
"Snow",1971,36.8,0.00231937948717949,421.951025641026,89.7,-8.23333333333333,0.756856,0.244792
"Growing",1972,38.59,0.00850878494623656,422.04247311828,0,14.747311827957,0,0
"Melt",1972,17.44,0.012713025974026,422.053636363636,4.3,12.3701298701299,1.034224,1.29058
"Snow",1972,37.24,0.00220288775510204,421.990408163265,68.9,-7.85204081632653,0.013144,0.153352
"Growing",1973,31.48,0.00824092307692308,422.029230769231,0,15.9505494505495,0,0
"Melt",1973,25.73,0.0108603873873874,422.044684684685,0.5,8.51351351351351,1.079944,1.118768
"Snow",1973,13.76,0.00054620245398773,421.960122699386,27.9,-7.09815950920245,0.525208,0.372008000000001
"Growing",1974,24.84,0.0012135,421.998043478261,0,14.5108695652174,0,0
"Melt",1974,27.93,0.0177413260869565,422.063804347826,7.5,8.98369565217391,1.220152,2.034292
"Snow",1974,22.97,0.00419814364640884,421.981712707182,40.5,-7.53591160220994,0.290512,0.290512
"Growing",1975,24.73,0.00380164130434783,421.998369565217,0.5,16.1684782608696,0,0
"Melt",1975,27.55,0.0204173086419753,422.049259259259,0,12.0740740740741,1.174432,1.396136
"Snow",1975,35.68,0.00158079166666667,421.9896875,89.1,-6.14583333333333,0,0
"Growing",1976,10.48,6.45591397849462e-05,421.781075268817,0,16.989247311828,0,0
"Melt",1976,16.67,0.00519159433962264,421.963867924528,0.6,10.2405660377358,0.47644,0.420776
"Snow",1976,23.07,0.000680353293413174,421.975868263473,51,-6.73353293413174,0,0
"Growing",1977,36.05,0.00901293406593407,421.948901098901,0,15.5274725274725,0.631888,0.590397333333334
"Snow",1977,3.79,0,421.411413043478,10.9,-7.14673913043478,0.894016,0.929792000000001
NA,1977,37.89,0.00131543956043956,421.67456043956,30,2.10164835164835,0.3459,0.388272
"Growing",1978,40.52,0.0121881739130435,422.014130434783,0,16.2880434782609,1.034224,1.210208
"Snow",1978,20.79,0.006423,421.973846153846,21.9,-3.88461538461538,0.385,0.013144
NA,1978,29.03,0.00586505494505494,421.966318681319,29.2,-0.324175824175824,0.963596,0.92161
"Growing",1979,32.17,0.0143036413043478,421.976630434783,0,15.8369565217391,0,0
"Melt",1979,20.02,0.0141770108695652,422,1.5,8.44021739130435,1.079944,1.410976
"Snow",1979,24.5,9.98618784530387e-05,421.902596685083,69.7,-8.82044198895028,0.525208,0.33928
"Growing",1980,32.93,0.00437844086021505,421.936021505376,0,16.1881720430108,0.23822,0.076676
"Snow",1980,15.53,0.0027808021978022,421.946593406593,6.9,-2.30769230769231,0.662368,0.472992
NA,1980,23.84,0.00172373076923077,421.919450549451,44.4,0.458791208791209,0.331184,0.505644000000001
"Growing",1981,29.97,0.00375327472527473,421.985604395604,0,16.2802197802198,0,0
"Melt",1981,31.75,0.00876374380165289,421.993223140496,1.9,7.95454545454545,1.373552,1.404518
"Snow",1981,13.05,0.000825555555555556,421.918235294118,21.7,-6.40522875816993,0.662368,0.512216000000001
