"watershed","LOCATION","horizon","horizonTop","horizonBottom","bulkDensity","H2O_1500kPa"
"S1","S1N","d.15",0,15.24,1.19,0.61
"S1","S1N","d.46",15.24,45.72,1.58,1.65
"S1","S1N","d.76",45.72,76.2,1.57,5.79
"S1","S1N","d.107",76.2,106.68,1.55,5.79
"S1","S1N","d.137",106.68,137.16,1.55,5.79
"S1","S1N","d.168",137.16,167.64,1.65,0.61
"S1","S1N","d.198",167.64,198.12,1.6,0.61
"S1","S1N","d.229",198.12,228.6,1.6,0.61
"S1","S1N","d.259",228.6,259.08,1.6,0.76
"S1","S1N","d.290",259.08,289.56,1.6,0.76
"S1","S1N","d.320",289.56,320.04,1.6,0.76
"S1","S1S","d.15",0,15.24,1.14,0.61
"S1","S1S","d.46",15.24,45.72,1.59,1.52
"S1","S1S","d.76",45.72,76.2,1.6,4.57
"S1","S1S","d.107",76.2,106.68,1.6,0.61
"S1","S1S","d.137",106.68,137.16,1.6,0.61
"S1","S1S","d.168",137.16,167.64,1.6,0.61
"S1","S1S","d.198",167.64,198.12,1.6,0.61
"S1","S1S","d.229",198.12,228.6,1.6,3.66
"S1","S1S","d.259",228.6,259.08,1.58,0.46
"S1","S1S","d.290",259.08,289.56,1.58,0.46
"S1","S1S","d.320",289.56,320.04,1.6,0.61
"S2","S2E","d.15",0,15.24,1.2,0.76
"S2","S2E","d.46",15.24,45.72,1.4,1.52
"S2","S2E","d.76",45.72,76.2,1.57,5.79
"S2","S2E","d.107",76.2,106.68,1.57,6.1
"S2","S2E","d.137",106.68,137.16,1.57,6.1
"S2","S2E","d.168",137.16,167.64,1.57,6.1
"S2","S2E","d.198",167.64,198.12,1.57,6.1
"S2","S2E","d.229",198.12,228.6,1.57,6.1
"S2","S2S","d.15",0,15.24,1.4,0.61
"S2","S2S","d.46",15.24,45.72,1.4,1.52
"S2","S2S","d.76",45.72,76.2,1.5,2.13
"S2","S2S","d.107",76.2,106.68,1.57,4.57
"S2","S2S","d.137",106.68,137.16,1.57,4.88
"S2","S2S","d.168",137.16,167.64,1.57,5.18
"S2","S2S","d.198",167.64,198.12,1.57,4.57
"S2","S2S","d.229",198.12,228.6,1.57,4.57
"S2","S2S","d.259",228.6,259.08,1.5,2.13
"S2","S2S","d.290",259.08,289.56,1.5,0.61
"S2","S2S","d.320",289.56,320.04,1.5,0.61
"S3","S3W","d.15",0,15.24,1.06,0.61
"S3","S3W","d.46",15.24,45.72,1.51,1.37
"S3","S3W","d.76",45.72,76.2,1.58,1.22
"S3","S3W","d.107",76.2,106.68,1.58,0.91
