"DATE","LOCATION","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
1966-09-14,"S1S",NA,3.81,2.13,2.67,2.44,2.74,2.44,2.74,10.36,11.51,11.05
1966-09-14,"S2W",NA,3.05,2.97,2.97,2.74,2.9,3.51,3.81,3.12,1.45,2.9
1966-09-14,"S3E",NA,1.52,0.91,2.67,3.81,1.37,2.97,1.83,1.52,0.46,NA
1966-09-14,"S3W",NA,1.37,0.91,2.51,4.11,4.27,3.2,4.88,3.43,6.25,5.79
1966-09-14,"S4S",NA,1.75,1.68,2.97,3.28,3.96,2.74,3.51,2.67,2.59,NA
1966-09-14,"S5",NA,1.6,3.28,3.73,3.43,2.67,2.59,3.05,NA,NA,NA
1966-11-10,"S1S",NA,5.64,1.91,1.91,1.75,2.29,2.51,1.68,4.95,11.35,10.97
1966-11-09,"S2W",NA,3.96,3.05,2.74,2.59,2.9,3.51,3.51,2.97,0.99,2.44
1966-11-10,"S3E",NA,1.91,0.61,1.6,3.05,1.07,2.51,1.45,1.37,0.3,NA
1966-11-10,"S3W",NA,1.52,0.91,1.83,3.05,3.12,2.06,3.58,2.36,4.72,3.89
1966-11-09,"S4S",NA,2.44,2.21,3.28,3.05,3.51,2.59,3.66,2.51,2.59,NA
1966-11-09,"S5",NA,2.21,3.58,3.43,2.82,2.36,2.44,2.82,NA,NA,NA
1967-03-09,"S1S",NA,6.1,1.68,1.68,1.83,2.29,2.29,1.07,2.29,10.36,10.67
1967-03-09,"S2W",NA,5.49,2.13,2.44,2.29,2.59,3.2,3.2,2.59,0.76,1.68
1967-03-09,"S3E",NA,3.2,0.3,1.52,2.9,1.22,2.13,1.22,1.22,0.3,NA
1967-03-09,"S3W",NA,2.9,0.15,1.37,2.9,3.35,2.59,3.81,2.13,5.18,4.27
1967-03-08,"S4S",NA,3.35,1.37,2.74,2.9,3.35,2.74,3.66,2.74,2.44,NA
1967-03-08,"S5",NA,1.98,2.59,3.35,3.2,2.44,2.59,2.9,NA,NA,NA
