YEAR,Season,deltaPAW,deltaPAW_watershed,deltaWTE_length,deltaWTE,deltaWTE_watershed,deltaS,deltaS_cm,South_PCP,NADP_PCP,North_PCP,Year,q_interval_cm,ET,ETmax,EP,DI,ET_storage,EP_storage
1968,Growing,-0.3078860000000002,-200125900.00000015,-0.9999999999990905,-0.5699999999994816,-182399999.99983412,-382525899.9998343,-0.3943565979379735,72.8,0.0,74.58,1968,1.798234847423,71.001765152577,120.66894268715421,0.9752989718760576,1.6575404215268437,71.39612175051496,0.9807159581114694
1969,Growing,-0.6422040000000004,-417432600.0000003,7.999999999998408,4.559999999999093,1459199999.9997096,1041767399.9997094,1.0739870103089788,57.68,0.0,60.08,1969,1.8825667274205,55.7974332725795,125.46709196262475,0.967361880592571,2.175226975773661,54.72344626227052,0.9487421335345098
1969,Snow,0.2438780000000002,158520700.00000012,-3.999999999996362,-2.2799999999979264,-729599999.9993365,-571079299.9993364,-0.5887415463910685,19.7,0.0,19.78,1969,0.15162624619,19.54837375381,33.09330052448959,0.9923032362340102,1.6798629707862738,20.13711530020107,1.0221885939188362
1970,Growing,-0.6108379999999995,-397044699.9999997,-9.99999999999659,-5.699999999998055,-1823999999.9993777,-2221044699.9993773,-2.2897368041230695,51.99,0.0,51.13,1970,1.417165568646,50.572834431354,135.6286265151889,0.9727415739825735,2.6087444992342546,52.86257123547707,1.0167834436521843
1970,Snow,0.8140919999999998,529159799.9999999,-10.000000000002274,-5.700000000001295,-1824000000.0004144,-1294840200.0004144,-1.3348868041241386,15.1,0.0,15.51,1970,0.2157404348794,14.8842595651206,19.09369287887551,0.9857125539814967,1.264482972110961,16.219146369244736,1.0741156535923666
1971,Growing,-0.09581199999999973,-62277799.99999983,8.999999999997499,5.129999999998574,1641599999.999544,1579322199.9995441,1.6281672164943755,63.910000000000004,0.0,69.24,1971,1.54679508285397,62.363204917146035,117.92746460705254,0.9757972917719611,1.8452114631051875,60.73503770065166,0.9503213534760078
1971,Snow,0.10992799999999953,71453199.99999969,7.999999999998408,4.559999999999093,1459199999.9997096,1530653199.9997094,1.5779929896904221,19.23,0.0,20.54,1971,0.1862309371195,19.0437690628805,25.95904779964329,0.9903156038939417,1.3499244825607535,17.465776073190078,0.908256686073327
1972,Growing,-1.0791540000000004,-701450100.0000002,3.000000000002956,1.7100000000016846,547200000.0005391,-154250099.99946117,-0.15902072164892905,64.95,0.0,70.82,1972,1.82977674261669,63.120223257383316,118.09923178413435,0.9718279177426222,1.8183099581852862,63.279243979032245,0.9742762737341377
1972,Snow,0.6615780000000006,430025700.00000036,-1.999999999998181,-1.1399999999989632,-364799999.99966824,65225700.00033212,0.06724298969106404,15.39,0.0,16.23,1972,0.03625484528429,15.35374515471571,5.670085276218369,0.9976442595656732,0.3684265936464177,15.286502165024647,0.9932749944785345
1973,Growing,-0.6507479999999999,-422986199.99999994,-1.999999999998181,-1.1399999999989632,-364799999.99966824,-787786199.9996681,-0.8121507216491424,65.19,0.0,64.32,1973,2.46783421809,62.72216578191,121.46003970705391,0.9621439757924529,1.8631698068270273,63.53431650355914,0.974602185972682
