LOCATION,DATE,YEAR,MONTH,DOY,PAW
S2E,1967-10-31,1967,10,304,0.0
S2E,1968-03-11,1968,3,71,0.0
S2E,1968-04-30,1968,4,121,0.8396279999999998
S2E,1968-09-12,1968,9,256,0.6166479999999996
S2E,1969-03-10,1969,3,69,0.1990719999999997
S2E,1969-04-30,1969,4,120,0.8716319999999999
S2E,1969-09-08,1969,9,251,0.0
S2E,1969-11-04,1969,11,308,0.013144000000000045
S2E,1970-03-06,1970,3,65,0.2447919999999999
S2E,1970-05-06,1970,5,126,1.034224
S2E,1970-09-17,1970,9,260,0.0
S2E,1970-11-10,1970,11,314,0.3392799999999998
S2E,1971-05-05,1971,5,125,0.8482959999999995
S2E,1971-11-09,1971,11,313,0.756856
S2E,1972-05-03,1972,5,124,1.034224
S2E,1972-09-07,1972,9,251,0.0
S2E,1972-11-13,1972,11,318,0.013144000000000045
S2E,1973-05-03,1973,5,123,1.0799439999999993
S2E,1973-09-10,1973,9,253,0.0
S2E,1973-11-13,1973,11,317,0.5252079999999997
S2E,1974-05-06,1974,5,126,1.2201520000000001
S2E,1974-09-19,1974,9,262,0.0
S2E,1974-11-21,1974,11,325,0.2905119999999999
S2E,1975-05-07,1975,5,127,1.1744319999999995
S2E,1975-09-18,1975,9,261,0.0
S2E,1975-11-10,1975,11,314,0.0
S2E,1976-05-13,1976,5,134,0.47643999999999975
S2E,1976-07-08,1976,7,190,0.0
S2E,1976-09-16,1976,9,260,0.0
S2E,1976-11-18,1976,11,323,0.0
S2E,1977-03-07,1977,3,66,0.0
S2E,1977-04-06,1977,4,96,0.10458399999999979
S2E,1977-05-09,1977,5,129,0.2447919999999999
S2E,1977-06-01,1977,6,152,1.034224
S2E,1977-07-06,1977,7,187,0.8025759999999997
S2E,1977-08-08,1977,8,220,0.10458399999999979
S2E,1977-09-08,1977,9,251,0.9885039999999998
S2E,1977-11-17,1977,11,321,0.8940159999999997
S2E,1978-01-26,1978,1,26,0.612552
S2E,1978-05-04,1978,5,124,1.3146400000000003
S2E,1978-09-20,1978,9,263,1.034224
S2E,1978-11-16,1978,11,320,0.3849999999999998
S2E,1979-05-09,1979,5,129,1.0799439999999993
S2E,1979-09-17,1979,9,260,0.0
S2E,1979-11-07,1979,11,311,0.5252079999999997
S2E,1980-05-07,1980,5,128,0.6623679999999998
S2E,1980-05-28,1980,5,149,0.0
S2E,1980-07-30,1980,7,212,0.0
S2E,1980-09-10,1980,9,254,0.47643999999999975
S2E,1980-11-20,1980,11,325,0.6623679999999998
S2E,1981-03-12,1981,3,71,1.6183919999999996
S2E,1981-05-13,1981,5,133,1.1287119999999993
S2E,1981-09-24,1981,9,267,0.0
S2E,1981-11-18,1981,11,322,0.6623679999999998
S2E,1982-05-12,1982,5,132,1.1287119999999993
S2E,1982-09-23,1982,9,266,0.0
S2E,1982-11-17,1982,11,321,0.7111359999999998
S2E,1983-05-11,1983,5,131,1.034224
S2E,1983-09-26,1983,9,269,0.43071999999999977
S2E,1983-12-12,1983,12,346,0.6166479999999996
S2E,1984-05-17,1984,5,138,1.1744319999999995
S2E,1984-09-19,1984,9,263,0.0
S2E,1984-11-14,1984,11,319,0.6623679999999998
S2E,1985-05-09,1985,5,129,1.2658719999999999
S2E,1985-09-18,1985,9,261,0.0
S2E,1985-11-06,1985,11,310,0.3849999999999998
S2E,1986-05-15,1986,5,135,1.1744319999999995
S2E,1986-09-18,1986,9,261,0.058863999999999805
S2E,1986-11-20,1986,11,324,0.5252079999999997
S2E,1987-05-07,1987,5,127,0.2447919999999999
S2E,1987-09-23,1987,9,266,0.0
S2E,1987-11-18,1987,11,322,0.15335199999999993
S2E,1988-08-05,1988,8,218,0.0
S2E,1988-09-30,1988,9,274,0.7263759999999997
S2E,1988-11-21,1988,11,326,0.8726799999999999
S2E,1989-05-17,1989,5,137,0.7781919999999998
S2E,1990-05-24,1990,5,144,1.0281279999999997
S2E,1990-09-24,1990,9,267,0.0
S2E,1990-11-26,1990,11,330,0.0
S2E,1991-05-17,1991,5,137,0.7172319999999996
S2E,1991-09-19,1991,9,262,0.0
S2E,1991-11-14,1991,11,318,0.0
S2E,1992-06-02,1992,6,154,0.35451999999999995
S2E,1992-09-24,1992,9,268,0.6928479999999997
S2E,1992-11-19,1992,11,324,0.23869599999999958
S2E,1993-05-13,1993,5,133,0.8025759999999997
S2E,1993-09-23,1993,9,266,0.07410399999999995
S2E,1993-11-17,1993,11,321,0.06800799999999985
S2E,1994-05-16,1994,5,136,1.1896719999999998
S2E,1994-09-19,1994,9,262,0.6257919999999997
S2E,1994-11-16,1994,11,320,0.9386879999999997
S2E,1995-05-11,1995,5,131,1.1896719999999998
S2E,1995-09-27,1995,9,270,0.0
S2E,1995-11-13,1995,11,317,0.8421999999999996
S2E,1996-05-16,1996,5,137,0.9976479999999994
S2E,1996-09-19,1996,9,263,0.0
S2E,1996-11-07,1996,11,312,1.043368
S2E,1997-05-13,1997,5,133,0.8117199999999998
S2E,1997-09-17,1997,9,260,0.08934399999999987
S2E,1997-11-20,1997,11,324,0.3392799999999998
S2E,1998-04-30,1998,4,120,0.6075039999999996
S2E,1998-09-17,1998,9,260,0.0
S2E,1998-11-13,1998,11,317,0.5404479999999996
S2E,1999-05-19,1999,5,139,0.8421999999999996
S2E,1999-09-15,1999,9,258,0.4855839999999998
S2E,1999-11-15,1999,11,319,0.22955199999999976
S2E,2000-05-03,2000,5,124,0.8178159999999997
S2E,2000-10-03,2000,10,277,0.0
S2E,2000-11-15,2000,11,320,0.8330559999999996
S2E,2001-05-11,2001,5,131,1.0037439999999997
S2E,2001-09-24,2001,9,267,0.0
S2E,2001-12-19,2001,12,353,0.6014079999999997
S2E,2002-05-10,2002,5,130,1.1591919999999996
S2E,2002-09-25,2002,9,268,0.0
S2E,2002-11-18,2002,11,322,0.0
S2E,2003-05-08,2003,5,128,0.6318879999999996
S2E,2003-09-24,2003,9,267,0.0
S2E,2003-11-03,2003,11,307,0.0
S2E,2004-05-13,2004,5,134,0.7416159999999996
S2E,2004-09-23,2004,9,267,0.9976479999999994
S2E,2004-11-15,2004,11,320,0.6471279999999995
S2E,2005-05-26,2005,5,146,1.2206279999999992
S2E,2005-09-21,2005,9,264,0.0
S2E,2005-10-31,2005,10,304,0.0
S2E,2006-05-18,2006,5,138,0.8940159999999997
S2E,2006-09-20,2006,9,263,0.0
S2E,2006-10-30,2006,10,303,0.0
S2E,2007-05-14,2007,5,134,0.94888
S2E,2007-09-27,2007,9,270,0.0
S2E,2007-11-01,2007,11,305,0.50692
S2E,2008-05-21,2008,5,142,0.8117199999999998
S2E,2008-09-29,2008,9,273,0.0
S2E,2008-11-06,2008,11,311,0.0
S2E,2009-05-21,2009,5,141,1.134808
S2E,2009-09-21,2009,9,264,0.0
S2E,2009-11-02,2009,11,306,0.3057519999999998
S2E,2010-04-26,2010,4,116,0.6257919999999997
S2E,2010-09-20,2010,9,263,0.7629519999999999
S2E,2010-11-01,2010,11,305,1.1032799999999998
S2E,2011-05-19,2011,5,139,0.6562719999999995
S2E,2011-09-19,2011,9,262,0.0
S2E,2011-10-31,2011,10,304,0.052767999999999926
S2E,2012-05-10,2012,5,131,1.0037439999999997
S2E,2012-09-19,2012,9,263,0.0
S2E,2012-10-27,2012,10,301,0.0
S2E,2013-05-23,2013,5,143,1.1805279999999998
S2E,2013-11-15,2013,11,319,0.0
S2E,2014-05-21,2014,5,141,1.0037439999999997
S2E,2014-09-17,2014,9,260,0.0
S2E,2014-11-03,2014,11,307,0.0
S2E,2015-05-18,2015,5,138,1.4004599999999998
S2E,2015-09-28,2015,9,271,0.0
S2E,2015-11-02,2015,11,306,0.1594479999999996
S2E,2016-05-16,2016,5,137,0.2905119999999999
S2E,2016-09-27,2016,9,271,0.2844159999999998
S2E,2016-10-31,2016,10,305,0.2844159999999998
