"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"1",1968,"S2E","Growing",3.06,4.265,2.67,2.975,2.44,2.745,2.29,2.29,NA,NA,NA
"2",1968,"S2E","Melt",5.23,7.62,3.51,3.81,3.51,3.96,3.66,3.66,NA,NA,NA
"3",1968,"S2E","Snow",3.84,3.66,0.61,1.52,1.07,0.91,0.76,0.76,NA,NA,NA
"4",1969,"S2E","Growing",2.34,2.29,1.07,1.98,1.37,1.37,1.37,1.37,NA,NA,NA
"5",1969,"S2E","Melt",5.44,7.62,3.81,4.11,3.81,3.96,3.35,NA,NA,NA,NA
"6",1969,"S2E","Snow",4.345,5.335,2.97,2.975,2.36,2.59,1.98,1.98,NA,NA,NA
"7",1969,"S2S","Growing",2.74,3.35,2.44,3.66,3.05,3.35,3.66,2.29,1.68,NA,NA
"8",1969,"S2S","Melt",4.93,5.94,5.94,5.79,5.18,4.57,5.18,5.49,4.88,2.9,2.9
"9",1969,"S2S","Snow",4.735,6.175,6.02,6.855,6.22,5.535,4.42,5.105,3.28,2.29,1.98
"10",1970,"S2E","Growing",2.03,0.3,0.3,1.52,1.22,1.07,1.07,1.07,NA,NA,NA
"11",1970,"S2E","Melt",3.84,8.38,3.81,3.81,3.81,3.96,3.51,NA,NA,NA,NA
"12",1970,"S2E","Snow",3.895,5.945,2.97,3.05,2.665,2.895,1.755,1.755,NA,NA,NA
"13",1970,"S2S","Growing",1.42,0.15,0.91,3.2,2.74,2.29,3.05,2.74,1.98,NA,NA
"14",1970,"S2S","Melt",5.61,7.16,6.25,5.64,5.18,4.57,5.03,5.49,7.82,NA,NA
"15",1970,"S2S","Snow",4.65,7.01,4.88,5.255,4.345,3.81,4.415,4.65,3.81,2.74,1.37
"16",1972,"S2E","Growing",2.16,2.74,1.37,2.29,1.52,1.68,1.52,1.52,NA,NA,NA
"17",1972,"S2E","Melt",4.52,8.38,3.96,4.11,3.81,4.11,3.2,3.2,NA,NA,NA
"18",1972,"S2E","Snow",2.51,5.03,2.29,2.29,1.68,1.68,1.37,1.37,NA,NA,NA
"19",1972,"S2S","Growing",2.64,1.98,2.59,4.11,3.51,3.05,3.66,3.51,1.83,1.07,1.22
"20",1972,"S2S","Melt",4.55,6.55,6.25,5.64,5.03,4.88,5.33,5.49,4.88,3.2,3.2
"21",1972,"S2S","Snow",3.1,5.49,5.33,4.57,3.2,3.05,3.35,3.35,1.52,1.07,1.22
"22",1973,"S2E","Growing",2.08,2.13,1.68,2.59,1.83,1.83,1.68,1.68,NA,NA,NA
"23",1973,"S2E","Melt",3.23,8.53,3.81,3.96,3.66,3.81,2.13,2.13,NA,NA,NA
"24",1973,"S2E","Snow",3.15,6.71,3.66,3.96,3.05,3.05,1.98,1.98,NA,NA,NA
"25",1973,"S2S","Growing",1.17,2.9,3.66,4.42,3.66,3.2,3.81,3.51,1.83,1.07,1.37
"26",1973,"S2S","Melt",3.58,6.71,6.4,5.64,5.18,4.57,5.03,5.33,4.72,3.05,2.9
"27",1973,"S2S","Snow",3.2,5.79,5.64,5.33,4.57,4.42,4.72,4.88,3.35,2.29,2.13
"28",1974,"S2E","Growing",0.56,0.3,1.07,1.98,1.52,1.37,1.22,1.22,NA,NA,NA
"29",1974,"S2E","Melt",4.42,8.99,3.51,3.96,3.51,3.81,2.59,2.59,NA,NA,NA
"30",1974,"S2E","Snow",2.84,5.94,3.35,3.05,2.13,3.05,1.52,1.52,NA,NA,NA
"31",1974,"S2S","Growing",0.41,0.46,2.31,3.66,3.05,2.74,3.2,3.05,1.37,0.61,0.3
"32",1974,"S2S","Melt",4.85,7.77,6.25,5.64,5.03,4.57,5.18,5.33,4.72,3.81,3.66
"33",1974,"S2S","Snow",3.25,5.94,5.64,5.18,3.81,3.2,3.66,3.66,1.52,0.61,0.46
